name,ra_j2000,dec_j2000,z,s178_jy,alpha,las_arcsec,size_kpc,in_sample,excluded,l_a,l_b,l_c,c_a,c_b,c_c,c_d,notes
3C123,04:37:04.38,+29:40:13.8,0.218,206.0,0.7,37.8,133,yes,,archival,archival,,archival,archival,15,,
3C171,06:55:14.65,+54:08:57.0,0.238,21.3,0.87,32.5,123,yes,,60,,,60,30,15,,
3C284,13:11:04.61,+27:28:06.8,0.239,12.3,0.95,178.1,674.4,yes,,60,30,15,60,30,15,5,
3C288,13:38:49.99,+38:51:09.5,0.246,20.6,0.85,36.2,140,yes,,60,30,,60,30,15,,
3C79,03:10:00.21,+17:05:58.5,0.256,33.2,0.92,89,350,yes,,60,30,,60,30,15,,
3C300,14:22:59.85,+19:35:36.9,0.272,19.5,0.78,100.9,419,yes,,60,30,,60,30,15,,
3C153,06:09:32.53,+48:04:15.4,0.277,16.7,0.66,9.1,38,no,Compact,,,,,,,,
3C438,21:55:52.28,+38:00:29.1,0.290,48.7,0.88,22.6,98.3,yes,,archival,archival,archival,archival,archival,archival,,
3C173.1,07:09:18.43,+74:49:31.7,0.292,16.8,0.88,60.5,264,yes,,60,30,,60,30,15,,
3C109,04:13:40.34,+11:12:15.3,0.306,23.5,0.85,103,465,yes,,60,30,,60,30,15,,
3C67,02:24:12.27,+27:50:11.1,0.310,10.9,0.58,3,10,no,Compact,,,,,,,,
3C249.1,11:04:13.76,+76:58:58.2,0.311,11.7,0.81,46.6,213,yes,,60,30,,60,30,15,,
3C48,01:37:41.29,+33:09:35.4,0.367,60.0,0.59,0.4,2,no,Compact,,,,,,,,
3C299,14:21:05.70,+41:44:49.7,0.367,12.9,0.65,11.3,57.5,no,Compact,,,,,,,,
3C268.3,12:06:24.90,+64:13:36.9,0.371,11.7,0.5,1.3,6.7,no,Compact,,,,,,,,
3C351,17:04:41.36,+60:44:30.2,0.371,14.9,0.73,74,380,yes,,60,30,,60,30,15,,
4C14.27,08:35:03.58,+14:11:49.4,0.392,11.2,1.15,35.8,190,yes,,60,,,60,30,15,,
3C42,01:28:30.13,+29:03:01.0,0.395,13.1,0.73,29,150,yes,,60,,,60,30,15,,
3C16,00:37:45.40,+13:20:09.2,0.405,12.2,0.94,73,400,yes,,60,30,,60,30,15,,
3C215,09:06:31.88,+16:46:11.8,0.411,12.4,1.06,56,310,yes,,60,30,,60,30,15,,
3C274.1,12:35:26.59,+21:20:34.8,0.422,18.0,0.87,150,832,yes,,60,30,15,60,30,15,5,
3C47,01:36:24.42,+20:57:27.4,0.425,28.8,0.98,77,430,yes,,60,30,archival,60,30,15,,
3C244.1,10:33:34.15,+58:14:36.3,0.428,22.1,0.82,51,290,yes,,60,30,,60,30,15,,
3C457,23:12:07.51,+18:45:41.3,0.428,14.3,1.01,210,1170,yes,,60,30,15,60,30,15,5,
3C46,01:35:28.50,+37:54:05.9,0.437,11.1,1.13,158,895,yes,,60,30,15,60,30,15,5,
3C341,16:28:03.90,+27:41:38.6,0.448,11.8,0.85,74,430,yes,,60,30,,60,30,15,,
3C200,08:27:25.44,+29:18:46.5,0.458,12.3,0.84,24.5,143,yes,,60,,,60,30,,,
3C295,14:11:20.59,+52:12:09.6,0.461,91.0,0.63,6,40,no,Compact,,,,,,,,
3C19,00:40:55.03,+33:10:06.9,0.482,13.2,0.63,6.2,37,no,Compact,,,,,,,,
3C172,07:02:08.08,+25:13:50.1,0.519,16.5,0.86,108,753,yes,,60,30,,60,30,15,,
3C455,22:55:03.87,+13:13:34.2,0.543,14.0,0.71,3.9,25,no,Compact,,,,,,,,
3C147,05:42:36.15,+49:51:07.3,0.545,65.9,0.46,1,6,no,Compact,,,,,,,,
3C330,16:09:34.71,+65:56:37.4,0.549,30.3,0.71,60,380,yes,,60,30,,60,30,15,,
3C228,09:50:10.70,+14:20:00.1,0.552,23.8,1.0,46,300,yes,,60,30,,archival,30,15,,
3C334,16:20:21.85,+17:36:23.1,0.555,11.9,0.86,58,370,yes,,archival,archival,,60,30,15,,
3C275.1,12:43:57.67,+16:22:53.2,0.557,19.9,0.96,15.5,100,no,Compact,,,,,,,,
3C427.1,21:04:06.37,+76:33:11.6,0.572,29.0,0.97,27,180,yes,,60,,,60,30,,,
3C225B,09:42:15.37,+13:45:50.1,0.580,23.2,0.94,5,30,no,Compact,,,,,,,,
3C345,16:42:58.80,+39:48:36.8,0.594,11.8,0.27,20,130,no,Compact,,,,,,,,
3C220.1,09:32:39.65,+79:06:31.5,0.610,17.2,0.93,35,240,yes,,60,,,60,30,15,,
3C49,01:41:09.07,+13:53:28.6,0.621,11.2,0.65,1.2,8.1,no,Compact,,,,,,,,
3C337,16:28:52.67,+44:19:07.1,0.635,12.9,0.63,45.5,312,yes,,60,30,,60,30,15,,
3C263,11:39:57.03,+65:47:49.5,0.652,16.6,0.82,51,350,yes,,archival,archival,,60,30,15,,
3C216,09:09:33.51,+42:53:45.9,0.668,22.0,0.84,5.3,37,no,Compact,,,,,,,,
3C207,08:40:47.58,+13:12:23.4,0.684,14.8,0.9,13,92,no,Compact,,,,,,,,
3C220.3,09:39:23.45,+83:15:26.2,0.685,17.1,0.75,10,71,no,Compact,,,,,,,,
3C34,01:10:18.47,+31:47:19.0,0.689,13.0,1.06,49,350,yes,,60,30,,60,30,15,,
3C380,18:29:31.78,+48:44:46.4,0.691,64.7,0.71,1.5,11,no,Compact,,,,,,,,
3C441,22:06:04.96,+29:29:22.3,0.708,13.7,0.83,36.5,262,yes,,60,30,,60,30,15,,
3C292,13:50:41.95,+64:29:35.4,0.710,11.0,0.8,140,1000,yes,,60,30,15,60,30,15,5,
3C254,11:14:38.71,+40:37:20.3,0.734,21.7,0.96,15,110,no,Compact,,,,,,,,
3C55,01:57:10.98,+28:51:41.8,0.735,23.4,1.04,72,520,yes,,60,30,,60,30,15,,
3C247,10:58:58.99,+43:01:25.5,0.749,11.6,0.61,14.6,107,no,Compact,,,,,,,,
3C343.1,16:38:28.10,+62:34:45.0,0.750,12.5,0.32,0.25,1.8,no,Compact,,,,,,,,
3C138,05:21:09.89,+16:38:21.8,0.759,24.2,0.46,0.8,6,no,Compact,,,,,,,,
3C277.2,12:53:33.67,+15:42:35.1,0.766,13.1,1.02,55,410,yes,,60,30,,60,30,15,,
3C175,07:13:02.41,+11:46:15.7,0.768,19.2,0.98,52,380,yes,,archival,archival,,archival,archival,15,,
3C340,16:29:36.56,+23:20:13.3,0.775,11.0,0.73,46,340,yes,,60,30,,60,30,15,,
3C41,01:26:44.33,+33:13:11.7,0.795,11.6,0.51,25,190,yes,,60,,,60,30,,,
3C352,17:10:44.11,+46:01:29.3,0.806,12.3,0.88,15,110,no,Compact,,,,,,,,
4C74.16,10:14:14.61,+74:37:37.0,0.810,12.8,0.87,45,340,yes,,60,30,,60,30,15,,
3C265,11:45:28.99,+31:33:49.4,0.811,21.3,0.96,79,600,yes,,60,30,,60,30,15,,
3C226,09:44:16.46,+09:46:15.6,0.820,16.4,0.88,32.5,250,yes,,60,,,60,30,15,,
3C263.1,11:43:25.03,+22:06:55.8,0.824,19.8,0.87,9,70,no,Compact,,,,,,,,
3C6.1,00:16:30.99,+79:16:50.9,0.840,14.9,0.68,27,210,yes,,60,,,60,30,,,
3C286,13:31:08.27,+30:30:32.7,0.849,27.3,0.24,4,30,no,Compact,,,,,,,,
3C454.3,22:53:57.76,+16:08:53.7,0.859,14.2,0.04,,,no,No LAS tabulated,,,,,,,,
3C325,15:49:58.42,+62:41:20.2,0.860,17.0,0.7,17.5,130,no,Compact,,,,,,,,
3C196,08:13:36.05,+48:13:02.6,0.871,74.3,0.79,6,50,no,Compact,,,,,,,,
3C217,09:08:50.76,+37:48:19.2,0.898,12.3,0.77,14,110,no,Compact,,,,,,,,
3C309.1,14:59:07.60,+71:40:19.9,0.904,24.7,0.53,3,20,no,Compact,,,,,,,,
3C175.1,07:14:04.61,+14:36:21.5,0.920,12.4,0.91,9,70,no,Compact,,,,,,,,
3C336,16:24:39.08,+23:45:12.8,0.927,12.5,0.73,28,220,yes,,60,,,archival,archival,,,
3C22,00:50:56.20,+51:12:04.1,0.938,13.2,0.78,26,200,yes,,60,,,60,30,,,
3C289,13:45:26.23,+49:46:32.3,0.967,13.1,0.81,11.8,93.7,no,Compact,,,,,,,,
3C268.1,12:00:22.74,+73:00:48.7,0.973,23.3,0.59,46,370,yes,,60,30,,60,30,15,,
3C343,16:34:33.84,+62:45:36.4,0.988,13.5,0.37,0.25,2,no,Compact,,,,,,,,
3C184,07:39:24.31,+70:23:10.7,0.994,14.4,0.86,5.7,46,no,Compact,,,,,,,,
3C280,12:56:57.85,+47:20:20.3,0.996,25.8,0.81,13.7,110,no,Compact,,,,,,,,
3C245,10:42:44.62,+12:03:32.1,1.029,15.7,0.78,5.4,44,no,z ≥ 1,,,,,,,,
3C212,08:58:41.45,+14:09:44.1,1.049,16.5,0.92,10.7,86.6,no,z ≥ 1,,,,,,,,
3C287,13:30:37.69,+25:09:10.7,1.055,17.8,0.42,0.11,0.89,no,z ≥ 1,,,,,,,,
3C186,07:44:17.45,+37:53:17.2,1.063,15.4,1.15,2.5,20,no,z ≥ 1,,,,,,,,
3C356,17:24:19.02,+50:57:40.2,1.079,12.3,1.02,75,610,no,z ≥ 1,,,,,,,,
3C252,11:11:33.08,+35:40:41.6,1.105,12.0,1.03,57,470,no,z ≥ 1,,,,,,,,
3C208,08:53:08.62,+13:52:54.2,1.109,18.3,0.96,14,110,no,z ≥ 1,,,,,,,,
3C204,08:37:44.90,+65:13:35.5,1.112,11.4,1.08,37,300,no,z ≥ 1,,,,,,,,
3C368,18:05:06.37,+11:01:31.0,1.132,15.0,1.24,11.5,94.5,no,z ≥ 1,,,,,,,,
3C267,11:49:56.62,+12:47:19.3,1.144,15.9,0.93,38,310,no,z ≥ 1,,,,,,,,
3C65,02:23:43.47,+40:00:52.4,1.176,16.6,0.75,19.3,160,no,z ≥ 1,,,,,,,,
3C190,08:01:33.54,+14:14:43.2,1.197,16.4,0.93,3,20,no,z ≥ 1,,,,,,,,
3C324,15:49:48.76,+21:25:37.0,1.206,17.2,0.9,11.3,93.8,no,z ≥ 1,,,,,,,,
3C68.1,02:32:28.87,+34:23:46.5,1.238,14.0,0.8,53,440,no,z ≥ 1,,,,,,,,
3C266,11:45:43.42,+49:46:07.3,1.272,12.1,1.01,5.5,46,no,z ≥ 1,,,,,,,,
4C16.49,17:34:42.59,+16:00:32.1,1.296,11.4,1.0,18,150,no,z ≥ 1,,,,,,,,
3C469.1,23:55:23.08,+79:55:16.8,1.336,12.1,0.96,77.5,651,no,z ≥ 1,,,,,,,,
3C13,00:34:14.73,+39:24:07.9,1.351,13.1,0.93,30,250,no,z ≥ 1,,,,,,,,
3C181,07:28:10.22,+14:37:36.2,1.382,15.8,1.0,7.3,61,no,z ≥ 1,,,,,,,,
3C268.4,12:09:13.59,+43:39:20.6,1.400,11.2,0.8,10.4,87.7,no,z ≥ 1,,,,,,,,
4C13.66,18:01:38.79,+13:51:45.2,1.450,12.3,0.81,1.4,12,no,z ≥ 1,,,,,,,,
3C14,00:36:06.40,+18:37:58.8,1.469,11.3,0.81,26,220,no,z ≥ 1,,,,,,,,
3C43,01:29:59.76,+23:38:19.6,1.470,12.6,0.75,1.3,11,no,z ≥ 1,,,,,,,,
3C437,21:47:24.95,+15:20:46.3,1.480,15.9,0.79,40,340,no,z ≥ 1,,,,,,,,
3C270.1,12:20:33.88,+33:43:11.6,1.519,14.8,0.75,11,93,no,z ≥ 1,,,,,,,,
3C205,08:39:06.49,+57:54:17.0,1.534,13.7,0.88,19,160,no,z ≥ 1,,,,,,,,
3C318,15:20:05.49,+20:16:05.1,1.574,13.4,0.78,1.2,10,no,z ≥ 1,,,,,,,,
3C68.2,02:34:23.84,+31:34:18.7,1.575,10.9,1.05,30,250,no,z ≥ 1,,,,,,,,
3C241,10:21:54.61,+21:59:31.5,1.617,12.6,0.97,1,8,no,z ≥ 1,,,,,,,,
3C470,23:58:35.31,+44:04:39.0,1.653,11.0,0.77,26,220,no,z ≥ 1,,,,,,,,
3C322,15:35:01.16,+55:36:51.4,1.681,11.0,0.81,37,310,no,z ≥ 1,,,,,,,,
3C454,22:51:34.64,+18:48:40.0,1.757,12.6,0.9,1.2,10,no,z ≥ 1,,,,,,,,
3C239,10:11:45.28,+46:28:19.2,1.781,14.4,1.08,13.5,114,no,z ≥ 1,,,,,,,,
3C294,14:06:44.01,+34:11:21.8,1.786,11.2,1.07,16.2,137,no,z ≥ 1,,,,,,,,
3C432,21:22:46.31,+17:04:38.6,1.805,12.0,0.98,15,130,no,z ≥ 1,,,,,,,,
3C191,08:04:47.95,+10:15:23.6,1.952,14.2,0.98,5.3,44,no,z ≥ 1,,,,,,,,
3C9,00:20:25.26,+15:40:54.9,2.012,19.4,1.12,14,120,no,z ≥ 1,,,,,,,,
